FullName,GridPosition,PredictedFinish,WinProbability,PodiumProbability
Lando Norris,3.0,2.2014281901494113,0.25678,0.54974
Kimi Antonelli,1.0,3.46127463160884,0.19191,0.51242
Max Verstappen,2.0,4.080103620868511,0.13574,0.40537
Charles Leclerc,5.0,4.803256310651093,0.12155,0.4069
Lewis Hamilton,6.0,4.904763112384046,0.11745,0.39652
George Russell,4.0,4.13637160321722,0.11225,0.33428
Pierre Gasly,12.0,9.322773090866528,0.01551,0.08489
Oscar Piastri,7.0,9.320908607392104,0.01234,0.07185
Isack Hadjar,10.0,9.21118165269007,0.00894,0.05266
Franco Colapinto,13.0,9.310061295845486,0.00559,0.03476
Liam Lawson,11.0,9.658520146361624,0.00502,0.03176
Arvid Lindblad,8.0,8.693002852613866,0.00395,0.0251
Alexander Albon,17.0,12.627253207107891,0.00326,0.02119
Gabriel Bortoleto,9.0,9.08279167736055,0.00297,0.02151
Nico Hulkenberg,14.0,13.358967722170052,0.0022,0.01647
Esteban Ocon,18.0,15.283864983166833,0.00153,0.0103
Carlos Sainz,15.0,13.260929170754308,0.00107,0.00727
Sergio Perez,20.0,17.551900363862945,0.00054,0.005
Valtteri Bottas,19.0,16.199380521666253,0.0005,0.00361
Fernando Alonso,21.0,17.442304725617486,0.00049,0.00428
Lance Stroll,22.0,17.442304725617486,0.00037,0.00346
Oliver Bearman,16.0,14.004167627448073,4e-05,0.00066
